mpid,formula,canonical_formula,A,B1,B2,X,pred_bandgap_eV,actual_bandgap_eV,pred_hull_eV_atom,actual_hull_eV_atom,pred_stable_probability,actual_stable,screening_score,passes_filter,joint_actual_hit
mp-1113343,Rb2LaCuCl6,Rb2CuLaCl6,Rb,Cu,La,Cl,2.1367556224943134,2.1713005832502623,0.06661667763194695,0.0732425562499985,0.0007065974434357687,0,0.2819996353292921,False,0
mp-1111712,Rb2YAuBr6,Rb2YAuBr6,Rb,Y,Au,Br,1.882520978727089,1.5888930344662668,0.10548897672535668,0.0879913322499987,0.0015126492101887707,0,0.27532956830378935,False,0
mp-1112903,Cs2GaHgI6,Cs2GaHgI6,Cs,Ga,Hg,I,0.6041100676572183,0.3067000000000002,0.08327453630546354,0.0500850228333331,0.2667962780179137,0,0.27133665911617305,False,0
mp-1111779,CsRb2InBr6,Rb2InCsBr6,Rb,In,Cs,Br,2.216042910158735,2.6802,0.06476297160370272,0.0778529674999988,0.00020285582349197605,0,0.2702797329806423,False,0
mp-1113614,Cs2AlAgF6,Cs2AlAgF6,Cs,Al,Ag,F,2.8729663315130622,3.4974000000000003,0.062117830372067494,0.0,0.25375295682309584,1,0.26695453280681525,False,0
mp-1111538,Na2AgSbCl6,Na2AgSbCl6,Na,Ag,Sb,Cl,1.5904491575848398,1.5821128741097137,0.14529360696656124,0.1411846989999987,0.0018496913248807019,0,0.26645585344918366,False,0
mp-1111472,Rb2AlAgCl6,Rb2AlAgCl6,Rb,Al,Ag,Cl,2.396334748647261,2.4448785308634005,0.05207173725145844,0.0525103666250013,0.013893744550976962,0,0.2645102516453071,False,0
mp-1112923,Cs2ScAuI6,Cs2ScAuI6,Cs,Sc,Au,I,1.2290154159034237,1.0840669912663847,0.0969720651619409,0.0489788149999985,0.00015348330343005484,1,0.25676585647253136,False,1
mp-1111326,Na2InAgF6,Na2AgInF6,Na,Ag,In,F,1.5712000317752826,1.0817,0.18834660623923416,0.1731680646666644,2.1006866215877477e-05,0,0.25557024757738883,False,0
mp-1112927,Cs2DyAuCl6,Cs2DyAuCl6,Cs,Dy,Au,Cl,2.129886050621569,2.1667421401319564,0.08886728514768667,0.0997845690000014,0.002272493265235103,0,0.25547090078446943,False,0
mp-1112184,K2InGaBr6,K2GaInBr6,K,Ga,In,Br,1.1994589956051316,1.0688215291302925,0.09438452809061165,0.0875252789999998,0.0001918638591962335,0,0.25423981077645086,False,0
mp-1111973,K2AlAgCl6,K2AlAgCl6,K,Al,Ag,Cl,2.496150021677026,2.473756742004232,0.05173724211184719,0.0617729935000022,0.029305219969109318,0,0.2520786474023041,False,0
mp-1114008,Rb2AlTlCl6,Rb2AlTlCl6,Rb,Al,Tl,Cl,3.725672942660894,3.8791081765209214,0.05635319792837265,0.0625376334999998,0.3288667206274756,0,0.250613956059334,False,0
mp-1110908,K2NdCuBr6,K2CuNdBr6,K,Cu,Nd,Br,2.15049794318364,2.2312214467999167,0.0909242073266373,0.0974764469999986,0.00017236828437346366,0,0.24885475047633548,False,0
mp-1111991,K2TbCuCl6,K2CuTbCl6,K,Cu,Tb,Cl,2.3980452448085456,2.471329661309269,0.06248590584354629,0.067974504000003,0.018366888028864662,0,0.24626864069803867,False,0
mp-1113655,Rb2DyAuCl6,Rb2DyAuCl6,Rb,Dy,Au,Cl,2.1361746547054667,2.189041247975173,0.1005245233460903,0.1126820989500041,0.0007189256273185195,0,0.2431256131170934,False,0
mp-1113656,Rb2ErAuCl6,Rb2ErAuCl6,Rb,Er,Au,Cl,2.1309448432619305,2.126349003116383,0.10240722896282271,0.108464487733336,0.0004810619451501753,0,0.24244690440868183,False,0
mp-1112510,Cs2RbTlI6,Cs2RbTlI6,Cs,Rb,Tl,I,0.9674888705864259,0.6154,0.06872972876008931,0.1014506247500004,0.0015110905119351892,0,0.24180237207098898,False,0
mp-1114239,Na2LiIrF6,Na2LiIrF6,Na,Li,Ir,F,2.089517527671679,2.2704,0.12991442689397895,0.0314410885999967,2.7973976078437952e-05,1,0.23288831802474103,False,1
mp-1111781,CsRb2GaBr6,Rb2GaCsBr6,Rb,Ga,Cs,Br,2.141574299018349,2.360453727308641,0.12101239081118899,0.1467960607500007,0.008798393572528616,0,0.2323056875377651,False,0
mp-1113309,Rb2CuAsF6,Rb2CuAsF6,Rb,Cu,As,F,0.9788226732148602,1.0685000000000002,0.0801956988437711,0.0821910609999996,0.007819108113324183,0,0.2313596261460398,False,0
mp-1113688,Rb2NaAuF6,Rb2NaAuF6,Rb,Na,Au,F,0.589696200000001,0.591,0.07239717774225277,0.0605004520000003,0.14131195876656896,0,0.22613800373169257,False,0
